"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Tom Green County",546,"March",2023,55,304617
"Travis County",3282,"March",2023,431,4610859
"Trinity County",22,"March",2023,62,28877
"Tyler County",56,"March",2023,93,40060
"Upshur County",51,"March",2023,148,72608
"Upton County",2,"March",2023,24,7353
"Uvalde County",12,"March",2023,1,74570
"Val Verde County",26,"March",2023,14,174714
"Van Zandt County",116,"March",2023,345,107826
"Victoria County",134,"March",2023,55,228592
"Walker County",136,"March",2023,62,178759
"Waller County",71,"March",2023,3810,116854
"Ward County",20,"March",2023,75,21538
"Washington County",32,"March",2023,107,92125
"Webb County",732,"March",2023,62,1559612
"Wharton County",156,"March",2023,27,105703
"Wheeler County",6,"March",2023,7,10665
"Wichita County",297,"March",2023,75,352998
"Wilbarger County",39,"March",2023,9,33871
"Willacy County",81,"March",2023,233,73132
"Williamson County",1166,"March",2023,431,2107812
"Wilson County",70,"March",2023,1015,137238
"Winkler County",16,"March",2023,75,15802
"Wise County",70,"March",2023,176,138846
"Wood County",80,"March",2023,345,99781
"Yoakum County",111,"March",2023,2,17779
"Young County",37,"March",2023,75,37303
"Zapata County",32,"March",2023,62,43326
"Zavala County",14,"March",2023,1015,31235
